station_file	latitude	longitude	wsdin	csdin	Tb_HDD	Tb_CDD	Tb_GDD	rxnday	rnnmm	txtn	SPEI
r10001.txt	-10	100	3	3	18	18	10	3	30	7	24
r10011.txt	-10	100	3	3	18	18	10	3	30	7	24
r10012.txt	-10	100	3	3	18	18	10	3	30	7	24
r10062.txt	-10	100	3	3	18	18	10	3	30	7	24
r10087.txt	-10	100	3	3	18	18	10	3	30	7	24
r10100.txt	-10	100	3	3	18	18	10	3	30	7	24
r10105.txt	-10	100	3	3	18	18	10	3	30	7	24
r10111.txt	-10	100	3	3	18	18	10	3	30	7	24
r10113.txt	-10	100	3	3	18	18	10	3	30	7	24
r10117.txt	-10	100	3	3	18	18	10	3	30	7	24
r10132.txt	-10	100	3	3	18	18	10	3	30	7	24
r10133.txt	-10	100	3	3	18	18	10	3	30	7	24
r10134.txt	-10	100	3	3	18	18	10	3	30	7	24
r10139.txt	-10	100	3	3	18	18	10	3	30	7	24
r10148.txt	-10	100	3	3	18	18	10	3	30	7	24
r10156.txt	-10	100	3	3	18	18	10	3	30	7	24
r10166.txt	-10	100	3	3	18	18	10	3	30	7	24
r10178.txt	-10	100	3	3	18	18	10	3	30	7	24
r10179.txt	-10	100	3	3	18	18	10	3	30	7	24
r10192.txt	-10	100	3	3	18	18	10	3	30	7	24
r10210.txt	-10	100	3	3	18	18	10	3	30	7	24
r10221.txt	-10	100	3	3	18	18	10	3	30	7	24
r10227.txt	-10	100	3	3	18	18	10	3	30	7	24
r10309.txt	-10	100	3	3	18	18	10	3	30	7	24
r10325.txt	-10	100	3	3	18	18	10	3	30	7	24
r10335.txt	-10	100	3	3	18	18	10	3	30	7	24
r10362.txt	-10	100	3	3	18	18	10	3	30	7	24
r10456.txt	-10	100	3	3	18	18	10	3	30	7	24
